Academia Economic Papers 	Academia Econ. Pap.
Magn. Reson. Chem. 	Magnetic Resonance in Chemistry
Magn. Reson. Mater. Phys., Biol. Med. 	Magnetic Resonance Materials in Physics, Biology and Medicine
Magy. Kem. Foly. 	Magyar Kemiai Folyoirat
Main Group Chem. 	Main Group Chemistry
Main Group Met. Chem. 	Main Group Metal Chemistry
Manuf. Chem. 	Manufacturing Chemist
Mar. Biol. 	Marine Biology
Mar. Biotechnol. 	Marine Biotechnology
Mar. Chem. 	Marine Chemistry
Mar. Environ. Res. 	Marine Environment Research
Mar. Pollut. Bull. 	Marine Pollutution Bulletin
Mass Spectrom. Rev. 	Mass Spectrometry Reviews
Mater. Charact. 	Materials Characterization
Mater. Chem. Phys. 	Materials Chemistry and Physics
Mater. Corros. 	Materials and Corrosion
Mater. Des. 	Materials and Design
Mater. Eval. 	Materials Evaluation
Mater. Forum 	Materials Forum
Mater. High Temp. 	Materials at High Temperatures
Mater. Lett. 	Materials Letters
Mater. Manuf. Processes 	Materials and Manufacturing Processes
Mater. Org. 	Materials and Organisms
Mater. Performance 	Materials Performance
Mater. Res. Bull. 	Materials Research Bulletin
Mater. Res. Innovations 	Materials Research Innovations
Mater. Sci. 	Materials Science
Mater. Sci. Eng., A 	Materials Science and Engineering A
Mater. Sci. Eng., B 	Materials Science and Engineering B
Mater. Sci. Eng., C 	Materials Science and Engineering C
Mater. Sci. Eng., R 	Materials Science and Engineering Reports
Mater. Sci. Forum 	Materials Science Forum
Mater. Sci. Semicond. Process. 	Materials Science in Semiconductor Processing
Mater. Sci. Res. Int. 	Materials Science Research International
Mater. Sci. Technol. 	Materials Science and Technology
Mater. Struct. 	Materials and Structures
Mater. Today 	Materials Today
Mater. Trans., JIM 	Materials Transactions, JIM
Materialwiss. Werkstofftech. 	Materialwissenschaft und Werkstofftechnik
Matrix Biol. 	Matrix Biology
Meas. Sci. Technol. 	Measurement Science and Technology
Mech. Compos. Mater. 	Mechanics of Composite Materials
Mech. Compos. Mater. Struct. 	Mechanics of Composite Materials and Structures
Mech. Mater. 	Mechanics of Materials
Mech. Time-Depend. Mater. 	Mechanics of Time Dependent Materials
Med. Chem. Res. 	Medicinal Chemistry Research
Mendeleev Commun. 	Mendeleev Communications
Met.-Based Drugs 	Metal-Based Drugs
Met. Ions Biol. Syst. 	Metal Ions in Biological Systems
Met. Sci. Heat Treat. 	Metal Science and Heat Treatment
Metab. Eng. 	Metabolic Engineering
Metall. Mater. Trans. A 	Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science
Metall. Mater. Trans. B 	Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science
Metall. Trans. A 	Metallurgical Transactions A
Metall. Trans. B 	Metallurgical Transactions B
Metalloved. Term. Obrab. Met. 	Metallovedenie i Termicheskaya Obrabotka Metallov
Methods Biochem. Anal. 	Methods of Biochemical Analysis
Methods Enzymol. 	Methods in Enzymology
Microb. Comp. Genomics 	Microbial and Comparative Genomics
Microbiol. Res. 	Microbiological Research
Microchem. J. 	Microchemical Journal
Microelectron. Eng. 	Microelectronic Engineering
Microelectron. J. 	Microelectronics Journal
Microporous Mater. 	Microporous Materials
Microporous Mesoporous Mater. 	Microporous and Mesoporous Materials
Microscale Thermophys. Eng. 	Microscale Thermophysical Engineering
Microsc. Microanal. 	Microscopy and Microanalysis
Microsc. Res. Tech. 	Microscopy Research and Technique
Mikrochim. Acta 	Mikrochimica Acta
Mine Water Environ. 	Mine Water and the Environment
Miner. Eng. 	Minerals Engineering
Miner. Metall. Process 	Minerals and Metallurgical Processing
Miner. Process. Extr. Metall. Rev. 	Mineral Processing and Extractive Metallurgy Review
Mini-Rev. Med. Chem. 	Mini - Reviews in Medicinal Chemistry
Mod. Drug Discovery 	Modern Drug Discovery
Mod. Phys. Lett. A 	Modern Physics Letters A
Mod. Phys. Lett. B 	Modern Physics Letters B
Modell. Simul. Mater. Sci. Eng. 	Modelling and Simulation in Materials Science and Engineering
Mol. Cell. Biochem. 	Molecular and Cellular Biochemistry
Mol. Cryst. Liq. Cryst. Sci. Technol., Sect. A 	Molecular Crystals and Liquid Crystals Science and Technology Section A
Mol. Cryst. Liq. Cryst. Sci. Technol., Sect. C 	Molecular Crystals and Liquid Crystals Science and Technology Section C
Mol. Mar. Biol. Biotech, 	Molecular Marine Biology and Biotechnology
Mol. Interventions 	Molecular Interventions
Mol. Microbiol. 	Molecular Microbiology
Mol. Pharmacol. 	Molecular Pharmacology
Mol. Phys. 	Molecular Physics
Mol. Reprod. Dev 	Molecular Reproduction and Development
Mol. Supramol. Photochem. 	Molecular and Supramolecular Photochemistry
Mon. Not. R. Astron. Soc. 	Monthy Notices of the Royal Astronomical Society
Monatsh. Chem. 	Monatshefte fur Chemie
MRS Bull. 	MRS Bulletin
MRS Internet J. Nitride Semicond. Res. 	MRS Internet Journal of Nitride Semiconductor Research
 	 
N	Back to Top
Nachr. Chem. Tech. Lab. 	Nachrichten aus Chemie Technik und Laboratorium
Nano Lett. 	Nano Letters
Nanostruct. Mater. 	Nanostructured Materials
Nat. Biotechnol. 	Nature Biotechnology
Nat. Prod. Lett. 	Natural Products Letters
Nat. Prod. Rep. 	Natural Products Reports
Nat. Prod. Sci. 	Natural Product Sciences
Nat. Struct. Biol. 	Natural Structural Biology
Nat. Toxins 	Natural Toxins
NATO ASI Ser., Ser. A 	NATO ASI Series, Series A Life Sciences
NATO ASI Ser., Ser. B 	NATO ASI Series, Series B Physics
NATO ASI Ser., Ser. C 	NATO ASI Series, Series C Mathematical and Physical Sciences
NATO ASI Ser., Ser. E 	NATO ASI Series, Series E Applied Physics
NATO ASI Ser., Ser. G 	NATO ASI Series, Series G Ecological Sciences
NATO ASI Ser., Ser. H 	NATO ASI Series, Series H Cell Biology
Naunyn-Schmiedeberg's Arch. Pharmacol. 	Naunyn-Schmiedeberg's Archives of Pharmacology
NDT and E Int. 	NDT and E International
Neft. Khoz. 	Neftyanoe Khozyaistvo (Petroleum Industry)
Neorg. Mater. 	Neorganicheskie Materialy
Neurochem. Int. 	Neurochemistry International
Neurochem. Res. 	Neurochemical Research
New Compr. Biochem. 	New Comprehensive Biochemistry
New Diamond Front. Carbon Technol. 	New Diamond and Frontier Carbon Technology
New J. Chem. 	New Journal of Chemistry
New Polym. Mat. 	New Polymeric Materials
NMR Biomed. 	NMR in Biomedicine
Nucl. Eng. Des. 	Nuclear Engineering and Design
Nucl. Fusion 	Nuclear Fusion
Nucl. Instrum. Methods Phys. Res., Sect. A 	Nuclear Instruments and Methods in Physics Research Section A
Nucl. Instrum. Methods Phys. Res., Sect. B 	Nuclear Instruments and Methods in Physics Research Section B
Nucl. Phys. A 	Nuclear Physics A
Nucl. Phys. B 	Nuclear Physics B
Nucl. Technol. 	Nuclear Technology
Nucleic Acids Res. 	Nucleic Acids Research
Numer. Heat Transfer, Part A 	Numerical Heat Transfer Part A
Numer. Heat Transfer, Part B 	Numerical Heat Transfer Part B
Nuovo Cimento Soc. Ital. Fis., A 	Nuovo Cimento della Societa Italiana di Fisica A
Nuovo Cimento Soc. Ital. Fis., B 	Nuovo Cimento della Societa Italiana di Fisica B
Nuovo Cimento Soc. Ital. Fis., C 	Nuovo Cimento della Societa Italiana di Fisica C
Nuovo Cimento Soc. Ital. Fis., D 	Nuovo Cimento della Societa Italiana di Fisica D
 	 
O	Back to Top
Oil Gas J. 	Oil and Gas Journal
Opt. Commun. 	Optics Communication
Opt. Express 	Optics Express
Opt. Lett. 	Optics Letters
Opt. Mater. 	Optical Materials
Opt. Spectrosc. 	Optics and Spectroscopy
Opt Spektrosk. 	Optika i Spektroskopiya
Opt. Zh. 	Opticheskii Zhurnal
Org. Electron. 	Organic Electronics
Org. Geochem. 	Organic Geochemistry
Org. Lett. 	Organic Letters
Org. Mass Spectrom. 	Organic Mass Spectrometry
Org. Prep. Proced. Int. 	Organic Preparations and Procedures International
Org. Process Res. Dev. 	Organic Process Research and Development
Org. React. Mech. 	Organic Reaction Mechanics
Organohalogen Compd. 	Organohalogen Compounds
Organomet. Chem. 	Organometallic Chemistry
Origins Life Evol. Biosphere 	Origins of Life and Evolution of the Biosphere
Oxid. Met. 	Oxidation of Metals
Ozone Sci. Eng. 	Ozone Science and Engineering
 	 
P	Back to Top
Part. Part. Syst. Char. 	Particle and Particle Systems Characterization
Part. Sci. Technol. 	Particulate Science and Technology
PCCP 	Physical Chemistry Chemical Physics
Perspect. Drug Discovery Des. 	Perspectives in Drug Discovery and Design
Pestic. Biochem. Physiol. 	Pesticide Biochemistry and Physiology
Pestic. Outlook 	Pesticide Outlook
Pet. Sci. Technol. 	Petroleum Science and Technology
Pharm. Chem. J. 	Pharmaceutical Chemistry Journal
Pharm. Pharmacol. Commun. 	Pharmacy and Pharmacology Communications
Pharm. Pharmacol. Lett. 	Pharmaceutical and Pharmacological Letters
Pharm. Res. 	Pharmaceutical Research
Pharm. Technol. 	Pharmaceutical Technology
Pharmacol. Res. 	Pharmacological Research
Phase Transitions 	Phase Transitions
Philos. Mag. A 	Philosophical Magazine A
Philos. Mag. B 	Philosophical Magazine B
Philos. Mag. Lett. 	Philosophical Magazine Letters
Philos. Trans. R. Soc. London, Ser. A 	Philosophical Transactions of the Royal Society of London, Series A
Philos. Trans. R. Soc. London, Ser. B 	Philosophical Transactions of the Royal Society of London, Series B
Phosphorus, Sulfur Silicon Relat. Elem. 	Phosphorus Sulfur Silicon and the Related Elements
Photochem. Photobiol. 	Photochemistry and Photobiology
Photosynth. Res. 	Photosynthesis Research
Phys. Chem. Chem. Phys. 	Physical Chemistry Chemical Physics
Phys. Chem. Glasses 	Physics and Chemistry of Glasses
Phys. Chem. Liq. 	Physics and Chemistry of Liquids
Phys. Chem. Miner. 	Physics and Chemistry of Minerals
Phys. Fluids A 	Physics of Fluids A
Phys. Fluids B 	Physics of Fluids B
Phys. Lett. A 	Physics Letters A
Phys. Lett. B 	Physics Letters B
Phys. Rev. A: At. Mol. Opt. Phys. 	Physical Review A: Atomic, Molecular, and Optical Physics
Phys. Rev. B: Condens. Matter 	Physical Review B: Condensed Matter
Phys. Rev. C: Nucl. Phys. 	Physical Review C: Nuclear Physics
Phys. Rev. D: Part. Fields 	Physical Review D: Particles and Fields
Phys. Rev. E: Stat. Phys., Plasmas, Fluids, 	Physical Review E: Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics
Phys. Rev. Lett. 	Physical Review Letters
Phys. Scr. 	Physica Scripta
Phys. Status Solidi A 	Physical Status Solidi A
Phys. Status Solidi B 	Physical Status Solidi B
Physica A 	Physica A
Physica B 	Physica B
Physica C 	Physica C
Physica D 	Physica D
Physica E 	Physica E
Physiol. Biochem. Zool. 	Physiological and Biochemical Zoology
Physiol. Chem. Phys. Med. NMR 	Physiological Chemistry and Physics and Medical NMR
Physiol. Plant. 	Physiologia Plantarum
Phytochem. Anal 	Phytochemical Analysis
Plant Physiol. Biochem. 	Plant Physiology and Biochemistry
Planta Med. 	Planta Medica
Plasma Chem. Plasma Process. 	Plasma Chemistry and Plasma Processing
Plasma Phys. Controlled Fusion 	Plasma Physics and Controlled Fusion
Plasmas Polym. 	Plasmas and Polymers
Plasma Sources Sci. Technol. 	Plasma Sources Science and Technology
Plast. Eng. 	Plastics Engineering
Plast. Rubber Compos. Process. Appl. 	Plastics Rubber and Composites Processing and Applications
Platinum Met. Rev. 	Platinum Metals Review
Plat. Surf. Finish. 	Plating and Surface Finishing
Pol. J. Chem. 	Polish Journal of chemistry
Polycyclic Aromat. Compd. 	Polycyclic Aromatic Compounds
Polym. Adv. Technol. 	Polymers for Advanced Technologies
Polym. Bull. 	Polymer Bulletin
Polym. Compos. 	Polymer Composites
Polym. Degrad. Stab. 	Polymer Degradation and Stability
Polym. Eng. Sci. 	Polymer Engineering and Science
Polym. Gels Networks 	Polymer Gels and Networks
Polym. Int. 	Polymer International
Polym. J. 	Polymer Journal
Polym. Mater. Sci. Eng. 	Polymeric Materials Science and Engineering
Polym. Networks Blends 	Polymer Networks and Blends
Polym. Plast. Technol. Eng. 	Polymer - Plastics Technology and Engineering
Polym. Polym. Compos. 	Polymers and Polymer Composites
Polym. Prepr. (Am. Chem. Soc., Div. Polym. Chem.) 	Polymeric Preprints (American Chemical Society, Division of Polymer Chemistry)
Polym. React. Eng. 	Polymer Reaction Engineering
Polym. Recycl. 	Polymer Recycling
Polym. Test. 	Polymer testing
Powder Diffr. 	Powder Diffraction
Powder Metall. 	Powder Metallurgy
Powder Metall. Met. Ceram. 	Powder Metallurgy and Metal Ceramics
Powder Technol. 	Powder Technology
Prep. Biochem. Biotechnol. 	Preparative Biochemistry and Biotechnology
Prepr. - Am. Chem. Soc., Div. Pet. Chem. 	Preprints - American Chemical Society, Division of Petroleum Chemistry
Prepr. Pap. - Am. Chem. Soc., Div. Fuel Chem. 	Preprint Papers - American Chemical Society, Division of Fuel Chemistry
Proc. R. Soc. London, Ser. A 	Proceedings of the Royal Society of London Series A
Proc. R. Soc. London, Ser. B 	Proceedings of the Royal Society of London Series B
Process Biochem. 	Process Biochemistry
Process Control Qual. 	Process Control and Quality
Process Saf. Environ. Prot. 	Process Safety and Environment Protection
Process Saf. Prog. 	Process Safety Progress
Prog. Biophys. Mol. Biol. 	Progress in Biophysics and Molecular biology
Prog. Biotechnol. 	Progress in Biotechnology
Prog. Chem. Org. Nat. Prod. 	Progress
Prog. Colloid Polym. Sci. 	Progress in Colloid and Polymer Science
Prog. Cryst. Growth Charact. Mater. 	Progress in Crystal Growth and Characterization of Materials
Prog. Energy Combust. Sci. 	Progress in Energy and Combustion Science
Prog. Heterocycl. Chem. 	Progress in Heterocyclic Chemistry
Prog. Ind. Microbiol. 	Progress in Industrial Microbiology
Prog. Inorg. Chem. 	Progress in Inorganic Chemistry
Prog. Lipid Res. 	Progress in Lipid Research
Prog. Mater Sci. 	Progress in Materials Science
Prog. Nucl. Magn. Reson. Spectrosc. 	Progress in Nuclear Magnetic Resonance Spectroscopy
Prog. Org. Coat. 	Progress in Organic Coatings
Prog. Pap. Recycl. 	Progress in Paper Recycling
Prog. Polym. Sci. 	Progress in Polymer Science
Prog. React. Kinet. 	Progress in Reaction Kinetics
Prog. Solid State Chem. 	Progress in Solid State Chemistry
Prog. Surf. Sci. 	Progress in Surface Science
Prot. Met 	Protection of Metals
Protein Eng. 	Protein Engineering
Protein Sci. 	Protein Science
Przem. Chem. 	Przemysl Chemiczny
Pure Appl. Chem. 	Pure and Applied Chemistry
 	 
Q	Back to Top
Quant. Struct.-Act. Relat. 	Quantitative Structure-Activity Relationships
Quim. Anal. (Barcelona) 	Quimica Analitica
Quim. Nova 	Quimica Nova
 	 
R	Back to Top
Radiat Eff. Defects Solids 	Radiation Effects and Defects in Solids
Radiat. Phys. Chem. 	Radiation Physics and Chemistry
Radiat. Prot. Dosim. 	Radiation Protection Dosimetry
Radiat. Res. 	Radiation Research
Radiochim. Acta 	Radiochima Acta
Rapid Commun. Mass Spectrom. 	Rapid Communications in Mass Spectrometry
Rapra Rev. Rep. 	RAPRA Review Reports
React. Funct. Polym. 	Reactive and Functional Polymers
React. Kinet. Catal. Lett. 	Reaction Kinetics and Catalysis Letters
Recl. Trav. Chim. Pays-Bas 	Recueil des Travaux Chimiques des Pays-Bas Journal of the Royal Netherlands Chemical Society
Refract. Ind. Ceram 	Refractories and Industrial Ceramics
Regul. Toxicol. Pharm. 	Regulatory Toxicology and Pharmacology
Rep. Prog. Phys. 	Reports on Progress in Physics
Res. Chem. Intermed. 	Research on Chemical Intermediates
Res. Commun. Mol. Pathol. Pharmacol. 	Research Communications in Molecular Pathology and Pharmacology
Res. Microbiol. 	Research in Microbiology
Rev. Anal. Chem 	Reviews in Analytical Chemistry
Rev. Chem. Eng. 	Reviews in Chemical Engineering
Rev. Chim. 	Revista de Chimie
Rev. Comput. Chem. 	Reviews in Computational Chemistry
Rev. Environ. Contam. Toxicol. 	Reviews of Environment Contamination and Toxicology
Rev. Gen. Therm. 	Revue Generale de Thermique
Rev. Metall. / Cah. Inf. Tech. 	Revue de Metallurgie / Cahiers d'Informations Techniques
Rev. Physiol., Biochem. Pharmacol. 	Reviews of Physiology Biochemistry and Pharmacology
Rev. Roum. Chim. 	Revue Roumaine de Chimie
Rev. Sci. Instrum. 	Review of Scientific Instruments
Rheol. Acta 	Rheologica Acta
Rubber Chem. Technol. 	Rubber Chemistry and Technology
Russ. Chem. Bull. 	Russian Chemical Bulletin
Russ. J. Appl. Chem. 	Russian Journal of Applied Chemistry
Russ. J. Bioorg. Chem. 	Russian Journal of Bioorganic Chemistry
Russ. J. Coord. Chem. 	Russion Journal of Coordination Chemistry
Russ. J. Electrochem. 	Russian Journal of Electrochemistry
Russ. J. Gen. Chem. 	Russian Journal of General Chemistry
Russ. J. Nondestr. Test. 	Russian Journal of Nondestructive Testing
Russ. J. Org. Chem. 	Russian Journal of Organic Chemistry
Russ. Metall. 	Russian Metallurgy
 	 
S	Back to Top
S. Afr. J. Chem. 	South African Journal of Chemistry
SAMPE J. 	SAMPE Journal
Scand. J. Metall. 	Scandinavian Journal of Metallurgy
Sci. China, Ser. B 	Science in China, Series B Chemistry
Sci. China, Ser. E 	Science in China, Series E Technological Sciences
Sci. Prog. 	Science Progress
Sci. Technol. Weld. Joining 	Science and Technology of Welding and Joining /font>
Sci. Total Environ. 	Science of the Total Environment
Scripta Mater. 	Scripta Materialia
Semicond. Sci. Technol. 	Semiconductor Science and Technology
Sens. Actuators, A 	Sensors and Actuators, A
Sens. Actuators, B 	Sensors and Actuators, B
Sep. Purif. Methods 	Separation and Purification Methods
Sep. Purif. Technol. 	Separation and Purification Technology
Sep. Sci. Technol. 	Separation Science and Technology
Silic. Indus. 	Silicates Industriels
Smart Mater. Struct. 	Smart Materials and Structures
Soil Biol. Biochem. 	Soil Biology and Biochemistry
Sol. Energy Mater. Sol. Cells 	Solar Energy Materials and Solar Cells
Solid State Commun. 	Solid State Communications
Solid State Ionics 	Solid State Ionics
Solid State Nucl. Magn. Reson. 	Solid State Nuclear Magnetic Resonance
Solid-State Electron. 	Solid State Electronics
Solvent Extr. Ion Exch. 	Solvent Extraction and Ion Exchange
Spectrochim. Acta 	Spectrochimica Acta
Spectrochim. Acta, Part A 	Spectrochimica Acta, Part A
Spectrochim. Acta, Part B 	Spectrochimica Acta, Part B
Spectrosc. Eur. 	Spectroscopy Europe
Spectrosc. Lett. 	Spectroscopy Letters
Spectrosc. Prop. Inorg. Organomet. Compd. 	Spectroscopic Properties of Inorganic and Organometallic Compounds
Speculations Sci. Technol. 	Speculations in Science and Technology
Spill Sci. Technol. Bull. 	Spill Science and Technology Bulletin
Springer Ser. Chem. Phys. 	Springer Series in Chemical Physics
Springer Ser. Solid-State Sci. 	Springer Series in Solid-State Sciences
Struct. Bond. 	Structure and Bonding
Struct. Chem. 	Structural Chemistry
Stud. Nat. Prod. Chem. 	Studies in Natural Products Chemistry
Stud. Surf. Sci. Catal. 	Studies in Surface Science and Catalysis
Supercond. Sci. Technol. 	Superconductor Science and Technology
Superlattices Microstruct. 	Superlattices and Microstructures
Supramol. Chem. 	Supramolecular Chemistry
Supramol. Photosensit. Electroact. Mater. 	Supramolecular Photosensitive and Electroactive Materials
Supramol. Sci. 	Supramolecular Science
Surf. Coat. Int. 	Surface Coatings International
Surf. Coat. Technol. 	Surface and Coatings Technology
Surf. Eng. 	Surface Engineering
Surf. Interface Anal. 	Surface and Interface Analysis
Surf. Rev. Lett. 	Surface Review and Letters
Surf. Sci. 	Surface Science
Surf. Sci. Rep. 	Surface Science Reports
Surf. Sci. Spectra 	Surface Science Spectra
Synth. Commun. 	Synthetic Communications
Synth. Met. 	Synthetic Metals
Synth. React. Inorg. Met.-Org. Chem. 	Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry
 	 
T	Back to Top
Tappi J. 	Tappi Journal
Tetrahedron Lett. 	Tetrahedron Letters
Tetrahedron: Asymmetry 	Tetrahedron: Asymmetry
THEOCHEM 	THEOCHEM Journal of Molecular Structure
Theor. Exp. Chem. 	Theoretical and Experimental Chemistry
Theor. Chem. Acc. 	Theoretical Chemistry Accounts
Theor. Found. Chem. Eng. 	Theoretical Foundations of Chemical Engineering
Thermochim. Acta 	Thermochimica Acta
Thin Solid Films 	Thin Solid Films
Tissue Eng. 	Tissue Engineering
Top. Appl. Phys. 	Topics in Applied Physics
Top. Biol. Inorg. Chem. 	Topics in Biological and Inorganic Chemistry
Top. Catal. 	Topics in Catalysis
Top. Curr. Chem. 	Topics in Current Chemistry
Top. Inorg. Chem. 	Topics in Inorganic Chemistry
Top. Fluoresc. Spectrosc. 	Topics in Fluorescence Spectroscopy
Toxicol. Appl. Pharmacol. 	Toxicology and Applied Pharmacology
Toxicol. Environ. Chem. 	Toxicological and Environmental Chemistry
Toxicol. Lett. 	Toxicology Letters
Toxicol. Sci. 	Toxicological Sciences
TrAC, Trends Anal. Chem. 	TRAC Trends in Analytical Chemistry
Trace Elem. Electrolytes 	Trace Elements and Electrolytes
Trans. Inst. Met. Finish. 	Transactions of the Institution of Metal Finishing
Trans. Inst. Min. Metall., Sect. A 	Transactions of the Institution of Mining and Metallurgy Section A
Trans. Inst. Min. Metall., Sect. B 	Transactions of the Institution of Mining and Metallurgy Section B
Trans. Inst. Min. Metall., Sect. C 	Transactions of the Institution of Mining and Metallurgy Section C
Transition Met. Chem. 	Transition Metal Chemistry
Trends Biochem. Sci 	Trends in Biochemical Sciences
Trends Biotechnol. 	Trends in Biotechnology
Tsvetn. Met. (Moscow) 	Tsvetnaya Metally
 	 
U	Back to Top
Ukr. Khim. Zh. 	Ukrainskii Khimicheskii Zhurnal
Ukr. Fiz. Zh. 	Ukrainskii Fizicheskii Zhurnal
Ultrason. Sonochem. 	Ultrasonics Sonochemistry
Usp. Khim. 	Uspekhi Khimii
 	 
V	Back to Top
Vib. Spectrosc 	Vibrational Spectroscopy
 	 
W	Back to Top
Waste Manage. (Oxford) 	Waste Management
Waste Manage. Res. 	Waste Management and Research
Water Environ. Res 	Water Environment Research
Water Res. 	Water Research
Water Resour. Res. 	Water Resources Research
Water Sci. Technol. 	Water Science and Technology
Water, Air, Soil Pollut. 	Water, Air, and Soil Pollution
World J. Microbiol. Biotechnol. 	World Journal of Microbiology and Biotechnology
 	 
X	Back to Top
X-Ray Spectrom. 	X-Ray Spectrometry
 	 
Z	Back to Top
Z. Anorg. Allg. Chem. 	Zeitschrift fur Anorganische und Allgemeine Chemie
Z. Kristallogr. 	Zeitschrift fur Kristallograhie
Z. Kristallogr. - New Cryst. Struct. 	Zeitschrift fur Kristallograhie - New Crystral Stuctures
Z. MetaIlkd. 	Zeitschrift fur MetaIlkunde
Z. Naturforsch., A: Phys. Sci. 	Zeitschrift fur Naturforschung A: Journal of Physical Sciences
Z. Naturforsch., B: Chem. Sci. 	Zeitschrift fur Naturforschung B: Journal of Chemical Sciences
Z. Naturforsch., C: Biosci. 	Zeitschrift fur Naturforschung C: Journal of Biosciences
Z. Phys. A: Hadrons Nucl. 	Zeitschrift fur Physik A: Hadrons and Nuclei
Z. Phys. B: Condens. Matter 	Zeitschrift fur Physik B: Condensed Matter
Z. Phys. C: Part. Fields 	Zeitschrift fur Physik C: Particle Fields
Z. Phys. D: At., Mol. Clusters 	Zeitschrift fur Physik D: Atoms, Molecules and Clusters
Z. Phys. Chem. 	Zeitschrift fur Physikalische Chemie
Zh. Fiz. Khim. 	Zhurnal Fizicheskoi Khimii
Zh. Neorg. Khim. 	Zhurnal Neorganicheskoi Khimii
Zh. Obshch. Khim. 	Zhurnal Obshchei Khimii
Zh. Org. Khim. 	Zhurnal Organicheskoi Khimii
Zh. Prikl. Khim. 	Zhurnal Prikladnoi Khimii
.com
.net
.org
.vn
.fr
.jp
.au
.ch
.cn
.kr
.sg
Pro.
Conf.
Int.
